リスクシンボル,正規化された損失,メーカー,燃料タイプ,吸気,ドア数,ボディスタイル,駆動輪,エンジン位置,軸距,全長,全幅,全高,車両重量,エンジンタイプ,シリンダー数,エンジンサイズ,燃料システム,ボア,ストローク,圧縮比,馬力,最高出力発生回転数,都市燃費,高速道路燃費,価格
0,,"bmw","gas","std","two","セダン","rwd","front",103.500000,193.800000,67.900000,53.700000,3380,"ohc","six",209,"mpfi",3.620000,3.390000,8.000000,182,5400,16,22,41315
0,,"bmw","gas","std","four","セダン","rwd","front",110.000000,197.000000,70.900000,56.300000,3505,"ohc","six",209,"mpfi",3.620000,3.390000,8.000000,182,5400,15,20,36880
2,121,"chevrolet","gas","std","two","ハッチバック","fwd","front",88.400000,141.100000,60.300000,53.200000,1488,"l","three",61,"2bbl",2.910000,3.030000,9.500000,48,5100,47,53,5151
1,98,"chevrolet","gas","std","two","ハッチバック","fwd","front",94.500000,155.900000,63.600000,52.000000,1874,"ohc","four",90,"2bbl",3.030000,3.110000,9.600000,70,5400,38,43,6295
0,81,"chevrolet","gas","std","four","セダン","fwd","front",94.500000,158.800000,63.600000,52.000000,1909,"ohc","four",90,"2bbl",3.030000,3.110000,9.600000,70,5400,38,43,6575
1,118,"dodge","gas","std","two","ハッチバック","fwd","front",93.700000,157.300000,63.800000,50.800000,1876,"ohc","four",90,"2bbl",2.970000,3.230000,9.410000,68,5500,37,41,5572
1,118,"dodge","gas","std","two","ハッチバック","fwd","front",93.700000,157.300000,63.800000,50.800000,1876,"ohc","four",90,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,6377
1,118,"dodge","gas","turbo","two","ハッチバック","fwd","front",93.700000,157.300000,63.800000,50.800000,2128,"ohc","four",98,"mpfi",3.030000,3.390000,7.600000,102,5500,24,30,7957
1,148,"dodge","gas","std","four","ハッチバック","fwd","front",93.700000,157.300000,63.800000,50.600000,1967,"ohc","four",90,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,6229
1,148,"dodge","gas","std","four","セダン","fwd","front",93.700000,157.300000,63.800000,50.600000,1989,"ohc","four",90,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,6692
1,148,"dodge","gas","std","four","セダン","fwd","front",93.700000,157.300000,63.800000,50.600000,1989,"ohc","four",90,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,7609
1,148,"dodge","gas","turbo","","セダン","fwd","front",93.700000,157.300000,63.800000,50.600000,2191,"ohc","four",98,"mpfi",3.030000,3.390000,7.600000,102,5500,24,30,8558
-1,110,"dodge","gas","std","four","ワゴン","fwd","front",103.300000,174.600000,64.600000,59.800000,2535,"ohc","four",122,"2bbl",3.340000,3.460000,8.500000,88,5000,24,30,8921
3,145,"dodge","gas","turbo","two","ハッチバック","fwd","front",95.900000,173.200000,66.300000,50.200000,2811,"ohc","four",156,"mfi",3.600000,3.900000,7.000000,145,5000,19,24,12964
2,137,"honda","gas","std","two","ハッチバック","fwd","front",86.600000,144.600000,63.900000,50.800000,1713,"ohc","four",92,"1bbl",2.910000,3.410000,9.600000,58,4800,49,54,6479
2,137,"honda","gas","std","two","ハッチバック","fwd","front",86.600000,144.600000,63.900000,50.800000,1819,"ohc","four",92,"1bbl",2.910000,3.410000,9.200000,76,6000,31,38,6855
1,101,"honda","gas","std","two","ハッチバック","fwd","front",93.700000,150.000000,64.000000,52.600000,1837,"ohc","four",79,"1bbl",2.910000,3.070000,10.100000,60,5500,38,42,5399
1,101,"honda","gas","std","two","ハッチバック","fwd","front",93.700000,150.000000,64.000000,52.600000,1940,"ohc","four",92,"1bbl",2.910000,3.410000,9.200000,76,6000,30,34,6529
1,101,"honda","gas","std","two","ハッチバック","fwd","front",93.700000,150.000000,64.000000,52.600000,1956,"ohc","four",92,"1bbl",2.910000,3.410000,9.200000,76,6000,30,34,7129
0,110,"honda","gas","std","four","セダン","fwd","front",96.500000,163.400000,64.000000,54.500000,2010,"ohc","four",92,"1bbl",2.910000,3.410000,9.200000,76,6000,30,34,7295
0,78,"honda","gas","std","four","ワゴン","fwd","front",96.500000,157.100000,63.900000,58.300000,2024,"ohc","four",92,"1bbl",2.920000,3.410000,9.200000,76,6000,30,34,7295
0,106,"honda","gas","std","two","ハッチバック","fwd","front",96.500000,167.500000,65.200000,53.300000,2236,"ohc","four",110,"1bbl",3.150000,3.580000,9.000000,86,5800,27,33,7895
0,106,"honda","gas","std","two","ハッチバック","fwd","front",96.500000,167.500000,65.200000,53.300000,2289,"ohc","four",110,"1bbl",3.150000,3.580000,9.000000,86,5800,27,33,9095
0,85,"honda","gas","std","four","セダン","fwd","front",96.500000,175.400000,65.200000,54.100000,2304,"ohc","four",110,"1bbl",3.150000,3.580000,9.000000,86,5800,27,33,8845
0,85,"honda","gas","std","four","セダン","fwd","front",96.500000,175.400000,62.500000,54.100000,2372,"ohc","four",110,"1bbl",3.150000,3.580000,9.000000,86,5800,27,33,10295
0,85,"honda","gas","std","four","セダン","fwd","front",96.500000,175.400000,65.200000,54.100000,2465,"ohc","four",110,"mpfi",3.150000,3.580000,9.000000,101,5800,24,28,12945
1,107,"honda","gas","std","two","セダン","fwd","front",96.500000,169.100000,66.000000,51.000000,2293,"ohc","four",110,"2bbl",3.150000,3.580000,9.100000,100,5500,25,31,10345
0,,"isuzu","gas","std","four","セダン","rwd","front",94.300000,170.700000,61.800000,53.500000,2337,"ohc","four",111,"2bbl",3.310000,3.230000,8.500000,78,4800,24,29,6785
2,,"isuzu","gas","std","two","ハッチバック","rwd","front",96.000000,172.600000,65.200000,51.400000,2734,"ohc","four",119,"spfi",3.430000,3.230000,9.200000,90,5000,24,29,11048
0,145,"jaguar","gas","std","four","セダン","rwd","front",113.000000,199.600000,69.600000,52.800000,4066,"dohc","six",258,"mpfi",3.630000,4.170000,8.100000,176,4750,15,19,32250
0,,"jaguar","gas","std","four","セダン","rwd","front",113.000000,199.600000,69.600000,52.800000,4066,"dohc","six",258,"mpfi",3.630000,4.170000,8.100000,176,4750,15,19,35550
0,,"jaguar","gas","std","two","セダン","rwd","front",102.000000,191.700000,70.600000,47.800000,3950,"ohcv","twelve",326,"mpfi",3.540000,2.760000,11.500000,262,5000,13,17,36000
1,104,"mazda","gas","std","two","ハッチバック","fwd","front",93.100000,159.100000,64.200000,54.100000,1890,"ohc","four",91,"2bbl",3.030000,3.150000,9.000000,68,5000,30,31,5195
1,104,"mazda","gas","std","two","ハッチバック","fwd","front",93.100000,159.100000,64.200000,54.100000,1900,"ohc","four",91,"2bbl",3.030000,3.150000,9.000000,68,5000,31,38,6095
1,104,"mazda","gas","std","two","ハッチバック","fwd","front",93.100000,159.100000,64.200000,54.100000,1905,"ohc","four",91,"2bbl",3.030000,3.150000,9.000000,68,5000,31,38,6795
1,113,"mazda","gas","std","four","セダン","fwd","front",93.100000,166.800000,64.200000,54.100000,1945,"ohc","four",91,"2bbl",3.030000,3.150000,9.000000,68,5000,31,38,6695
1,113,"mazda","gas","std","four","セダン","fwd","front",93.100000,166.800000,64.200000,54.100000,1950,"ohc","four",91,"2bbl",3.080000,3.150000,9.000000,68,5000,31,38,7395
3,150,"mazda","gas","std","two","ハッチバック","rwd","front",95.300000,169.000000,65.700000,49.600000,2380,"rotor","two",70,"4bbl",,,9.400000,101,6000,17,23,10945
3,150,"mazda","gas","std","two","ハッチバック","rwd","front",95.300000,169.000000,65.700000,49.600000,2380,"rotor","two",70,"4bbl",,,9.400000,101,6000,17,23,11845
3,150,"mazda","gas","std","two","ハッチバック","rwd","front",95.300000,169.000000,65.700000,49.600000,2385,"rotor","two",70,"4bbl",,,9.400000,101,6000,17,23,13645
3,150,"mazda","gas","std","two","ハッチバック","rwd","front",95.300000,169.000000,65.700000,49.600000,2500,"rotor","two",80,"mpfi",,,9.400000,135,6000,16,23,15645
1,129,"mazda","gas","std","two","ハッチバック","fwd","front",98.800000,177.800000,66.500000,53.700000,2385,"ohc","four",122,"2bbl",3.390000,3.390000,8.600000,84,4800,26,32,8845
0,115,"mazda","gas","std","four","セダン","fwd","front",98.800000,177.800000,66.500000,55.500000,2410,"ohc","four",122,"2bbl",3.390000,3.390000,8.600000,84,4800,26,32,8495
1,129,"mazda","gas","std","two","ハッチバック","fwd","front",98.800000,177.800000,66.500000,53.700000,2385,"ohc","four",122,"2bbl",3.390000,3.390000,8.600000,84,4800,26,32,10595
0,115,"mazda","gas","std","four","セダン","fwd","front",98.800000,177.800000,66.500000,55.500000,2410,"ohc","four",122,"2bbl",3.390000,3.390000,8.600000,84,4800,26,32,10245
0,,"mazda","diesel","std","","セダン","fwd","front",98.800000,177.800000,66.500000,55.500000,2443,"ohc","four",122,"idi",3.390000,3.390000,22.700000,64,4650,36,42,10795
0,115,"mazda","gas","std","four","ハッチバック","fwd","front",98.800000,177.800000,66.500000,55.500000,2425,"ohc","four",122,"2bbl",3.390000,3.390000,8.600000,84,4800,26,32,11245
0,118,"mazda","gas","std","four","セダン","rwd","front",104.900000,175.000000,66.100000,54.400000,2670,"ohc","four",140,"mpfi",3.760000,3.160000,8.000000,120,5000,19,27,18280
0,,"mazda","diesel","std","four","セダン","rwd","front",104.900000,175.000000,66.100000,54.400000,2700,"ohc","four",134,"idi",3.430000,3.640000,22.000000,72,4200,31,39,18344
-1,93,"mercedes-benz","diesel","turbo","four","セダン","rwd","front",110.000000,190.900000,70.300000,56.500000,3515,"ohc","five",183,"idi",3.580000,3.640000,21.500000,123,4350,22,25,25552
-1,93,"mercedes-benz","diesel","turbo","four","ワゴン","rwd","front",110.000000,190.900000,70.300000,58.700000,3750,"ohc","five",183,"idi",3.580000,3.640000,21.500000,123,4350,22,25,28248
0,93,"mercedes-benz","diesel","turbo","two","ハードトップ","rwd","front",106.700000,187.500000,70.300000,54.900000,3495,"ohc","five",183,"idi",3.580000,3.640000,21.500000,123,4350,22,25,28176
-1,93,"mercedes-benz","diesel","turbo","four","セダン","rwd","front",115.600000,202.600000,71.700000,56.300000,3770,"ohc","five",183,"idi",3.580000,3.640000,21.500000,123,4350,22,25,31600
-1,,"mercedes-benz","gas","std","four","セダン","rwd","front",115.600000,202.600000,71.700000,56.500000,3740,"ohcv","eight",234,"mpfi",3.460000,3.100000,8.300000,155,4750,16,18,34184
3,142,"mercedes-benz","gas","std","two","オープンカー","rwd","front",96.600000,180.300000,70.500000,50.800000,3685,"ohcv","eight",234,"mpfi",3.460000,3.100000,8.300000,155,4750,16,18,35056
0,,"mercedes-benz","gas","std","four","セダン","rwd","front",120.900000,208.100000,71.700000,56.700000,3900,"ohcv","eight",308,"mpfi",3.800000,3.350000,8.000000,184,4500,14,16,40960
1,,"mercedes-benz","gas","std","two","ハードトップ","rwd","front",112.000000,199.200000,72.000000,55.400000,3715,"ohcv","eight",304,"mpfi",3.800000,3.350000,8.000000,184,4500,14,16,45400
1,,"mercury","gas","turbo","two","ハッチバック","rwd","front",102.700000,178.400000,68.000000,54.800000,2910,"ohc","four",140,"mpfi",3.780000,3.120000,8.000000,175,5000,19,24,16503
2,161,"mitsubishi","gas","std","two","ハッチバック","fwd","front",93.700000,157.300000,64.400000,50.800000,1918,"ohc","four",92,"2bbl",2.970000,3.230000,9.400000,68,5500,37,41,5389
2,161,"mitsubishi","gas","std","two","ハッチバック","fwd","front",93.700000,157.300000,64.400000,50.800000,1944,"ohc","four",92,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,6189
2,161,"mitsubishi","gas","std","two","ハッチバック","fwd","front",93.700000,157.300000,64.400000,50.800000,2004,"ohc","four",92,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,6669
1,161,"mitsubishi","gas","turbo","two","ハッチバック","fwd","front",93.000000,157.300000,63.800000,50.800000,2145,"ohc","four",98,"spdi",3.030000,3.390000,7.600000,102,5500,24,30,7689
3,153,"mitsubishi","gas","turbo","two","ハッチバック","fwd","front",96.300000,173.000000,65.400000,49.400000,2370,"ohc","four",110,"spdi",3.170000,3.460000,7.500000,116,5500,23,30,9959
3,153,"mitsubishi","gas","std","two","ハッチバック","fwd","front",96.300000,173.000000,65.400000,49.400000,2328,"ohc","four",122,"2bbl",3.350000,3.460000,8.500000,88,5000,25,32,8499
3,,"mitsubishi","gas","turbo","two","ハッチバック","fwd","front",95.900000,173.200000,66.300000,50.200000,2833,"ohc","four",156,"spdi",3.580000,3.860000,7.000000,145,5000,19,24,12629
3,,"mitsubishi","gas","turbo","two","ハッチバック","fwd","front",95.900000,173.200000,66.300000,50.200000,2921,"ohc","four",156,"spdi",3.590000,3.860000,7.000000,145,5000,19,24,14869
3,,"mitsubishi","gas","turbo","two","ハッチバック","fwd","front",95.900000,173.200000,66.300000,50.200000,2926,"ohc","four",156,"spdi",3.590000,3.860000,7.000000,145,5000,19,24,14489
1,125,"mitsubishi","gas","std","four","セダン","fwd","front",96.300000,172.400000,65.400000,51.600000,2365,"ohc","four",122,"2bbl",3.350000,3.460000,8.500000,88,5000,25,32,6989
1,125,"mitsubishi","gas","std","four","セダン","fwd","front",96.300000,172.400000,65.400000,51.600000,2405,"ohc","four",122,"2bbl",3.350000,3.460000,8.500000,88,5000,25,32,8189
1,125,"mitsubishi","gas","turbo","four","セダン","fwd","front",96.300000,172.400000,65.400000,51.600000,2403,"ohc","four",110,"spdi",3.170000,3.460000,7.500000,116,5500,23,30,9279
-1,137,"mitsubishi","gas","std","four","セダン","fwd","front",96.300000,172.400000,65.400000,51.600000,2403,"ohc","four",110,"spdi",3.170000,3.460000,7.500000,116,5500,23,30,9279
1,128,"nissan","gas","std","two","セダン","fwd","front",94.500000,165.300000,63.800000,54.500000,1889,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,5499
1,128,"nissan","diesel","std","two","セダン","fwd","front",94.500000,165.300000,63.800000,54.500000,2017,"ohc","four",103,"idi",2.990000,3.470000,21.900000,55,4800,45,50,7099
1,128,"nissan","gas","std","two","セダン","fwd","front",94.500000,165.300000,63.800000,54.500000,1918,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,6649
1,122,"nissan","gas","std","four","セダン","fwd","front",94.500000,165.300000,63.800000,54.500000,1938,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,6849
1,103,"nissan","gas","std","four","ワゴン","fwd","front",94.500000,170.200000,63.800000,53.500000,2024,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,7349
1,128,"nissan","gas","std","two","セダン","fwd","front",94.500000,165.300000,63.800000,54.500000,1951,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,7299
1,128,"nissan","gas","std","two","ハッチバック","fwd","front",94.500000,165.600000,63.800000,53.300000,2028,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,7799
1,122,"nissan","gas","std","four","セダン","fwd","front",94.500000,165.300000,63.800000,54.500000,1971,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,7499
1,103,"nissan","gas","std","four","ワゴン","fwd","front",94.500000,170.200000,63.800000,53.500000,2037,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,7999
2,168,"nissan","gas","std","two","ハードトップ","fwd","front",95.100000,162.400000,63.800000,53.300000,2008,"ohc","four",97,"2bbl",3.150000,3.290000,9.400000,69,5200,31,37,8249
0,106,"nissan","gas","std","four","ハッチバック","fwd","front",97.200000,173.400000,65.200000,54.700000,2324,"ohc","four",120,"2bbl",3.330000,3.470000,8.500000,97,5200,27,34,8949
0,106,"nissan","gas","std","four","セダン","fwd","front",97.200000,173.400000,65.200000,54.700000,2302,"ohc","four",120,"2bbl",3.330000,3.470000,8.500000,97,5200,27,34,9549
0,128,"nissan","gas","std","four","セダン","fwd","front",100.400000,181.700000,66.500000,55.100000,3095,"ohcv","six",181,"mpfi",3.430000,3.270000,9.000000,152,5200,17,22,13499
0,108,"nissan","gas","std","four","ワゴン","fwd","front",100.400000,184.600000,66.500000,56.100000,3296,"ohcv","six",181,"mpfi",3.430000,3.270000,9.000000,152,5200,17,22,14399
0,108,"nissan","gas","std","four","セダン","fwd","front",100.400000,184.600000,66.500000,55.100000,3060,"ohcv","six",181,"mpfi",3.430000,3.270000,9.000000,152,5200,19,25,13499
3,194,"nissan","gas","std","two","ハッチバック","rwd","front",91.300000,170.700000,67.900000,49.700000,3071,"ohcv","six",181,"mpfi",3.430000,3.270000,9.000000,160,5200,19,25,17199
3,194,"nissan","gas","turbo","two","ハッチバック","rwd","front",91.300000,170.700000,67.900000,49.700000,3139,"ohcv","six",181,"mpfi",3.430000,3.270000,7.800000,200,5200,17,23,19699
1,231,"nissan","gas","std","two","ハッチバック","rwd","front",99.200000,178.500000,67.900000,49.700000,3139,"ohcv","six",181,"mpfi",3.430000,3.270000,9.000000,160,5200,19,25,18399
0,161,"peugot","gas","std","four","セダン","rwd","front",107.900000,186.700000,68.400000,56.700000,3020,"l","four",120,"mpfi",3.460000,3.190000,8.400000,97,5000,19,24,11900
0,161,"peugot","diesel","turbo","four","セダン","rwd","front",107.900000,186.700000,68.400000,56.700000,3197,"l","four",152,"idi",3.700000,3.520000,21.000000,95,4150,28,33,13200
0,,"peugot","gas","std","four","ワゴン","rwd","front",114.200000,198.900000,68.400000,58.700000,3230,"l","four",120,"mpfi",3.460000,3.190000,8.400000,97,5000,19,24,12440
0,,"peugot","diesel","turbo","four","ワゴン","rwd","front",114.200000,198.900000,68.400000,58.700000,3430,"l","four",152,"idi",3.700000,3.520000,21.000000,95,4150,25,25,13860
0,161,"peugot","gas","std","four","セダン","rwd","front",107.900000,186.700000,68.400000,56.700000,3075,"l","four",120,"mpfi",3.460000,2.190000,8.400000,95,5000,19,24,15580
0,161,"peugot","diesel","turbo","four","セダン","rwd","front",107.900000,186.700000,68.400000,56.700000,3252,"l","four",152,"idi",3.700000,3.520000,21.000000,95,4150,28,33,16900
0,,"peugot","gas","std","four","ワゴン","rwd","front",114.200000,198.900000,68.400000,56.700000,3285,"l","four",120,"mpfi",3.460000,2.190000,8.400000,95,5000,19,24,16695
0,,"peugot","diesel","turbo","four","ワゴン","rwd","front",114.200000,198.900000,68.400000,58.700000,3485,"l","four",152,"idi",3.700000,3.520000,21.000000,95,4150,25,25,17075
0,161,"peugot","gas","std","four","セダン","rwd","front",107.900000,186.700000,68.400000,56.700000,3075,"l","four",120,"mpfi",3.460000,3.190000,8.400000,97,5000,19,24,16630
0,161,"peugot","diesel","turbo","four","セダン","rwd","front",107.900000,186.700000,68.400000,56.700000,3252,"l","four",152,"idi",3.700000,3.520000,21.000000,95,4150,28,33,17950
0,161,"peugot","gas","turbo","four","セダン","rwd","front",108.000000,186.700000,68.300000,56.000000,3130,"l","four",134,"mpfi",3.610000,3.210000,7.000000,142,5600,18,24,18150
1,119,"plymouth","gas","std","two","ハッチバック","fwd","front",93.700000,157.300000,63.800000,50.800000,1918,"ohc","four",90,"2bbl",2.970000,3.230000,9.400000,68,5500,37,41,5572
1,119,"plymouth","gas","turbo","two","ハッチバック","fwd","front",93.700000,157.300000,63.800000,50.800000,2128,"ohc","four",98,"spdi",3.030000,3.390000,7.600000,102,5500,24,30,7957
1,154,"plymouth","gas","std","four","ハッチバック","fwd","front",93.700000,157.300000,63.800000,50.600000,1967,"ohc","four",90,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,6229
1,154,"plymouth","gas","std","four","セダン","fwd","front",93.700000,167.300000,63.800000,50.800000,1989,"ohc","four",90,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,6692
1,154,"plymouth","gas","std","four","セダン","fwd","front",93.700000,167.300000,63.800000,50.800000,2191,"ohc","four",98,"2bbl",2.970000,3.230000,9.400000,68,5500,31,38,7609
-1,74,"plymouth","gas","std","four","ワゴン","fwd","front",103.300000,174.600000,64.600000,59.800000,2535,"ohc","four",122,"2bbl",3.350000,3.460000,8.500000,88,5000,24,30,8921
3,,"plymouth","gas","turbo","two","ハッチバック","rwd","front",95.900000,173.200000,66.300000,50.200000,2818,"ohc","four",156,"spdi",3.590000,3.860000,7.000000,145,5000,19,24,12764
3,186,"porsche","gas","std","two","ハッチバック","rwd","front",94.500000,168.900000,68.300000,50.200000,2778,"ohc","four",151,"mpfi",3.940000,3.110000,9.500000,143,5500,19,27,22018
3,,"porsche","gas","std","two","ハードトップ","rwd","rear",89.500000,168.900000,65.000000,51.600000,2756,"ohcf","six",194,"mpfi",3.740000,2.900000,9.500000,207,5900,17,25,32528
3,,"porsche","gas","std","two","ハードトップ","rwd","rear",89.500000,168.900000,65.000000,51.600000,2756,"ohcf","six",194,"mpfi",3.740000,2.900000,9.500000,207,5900,17,25,34028
3,,"porsche","gas","std","two","オープンカー","rwd","rear",89.500000,168.900000,65.000000,51.600000,2800,"ohcf","six",194,"mpfi",3.740000,2.900000,9.500000,207,5900,17,25,37028
0,,"renault","gas","std","four","ワゴン","fwd","front",96.100000,181.500000,66.500000,55.200000,2579,"ohc","four",132,"mpfi",3.460000,3.900000,8.700000,,,23,31,9295
2,,"renault","gas","std","two","ハッチバック","fwd","front",96.100000,176.800000,66.600000,50.500000,2460,"ohc","four",132,"mpfi",3.460000,3.900000,8.700000,,,23,31,9895
3,150,"saab","gas","std","two","ハッチバック","fwd","front",99.100000,186.600000,66.500000,56.100000,2658,"ohc","four",121,"mpfi",3.540000,3.070000,9.310000,110,5250,21,28,11850
2,104,"saab","gas","std","four","セダン","fwd","front",99.100000,186.600000,66.500000,56.100000,2695,"ohc","four",121,"mpfi",3.540000,3.070000,9.300000,110,5250,21,28,12170
3,150,"saab","gas","std","two","ハッチバック","fwd","front",99.100000,186.600000,66.500000,56.100000,2707,"ohc","four",121,"mpfi",2.540000,2.070000,9.300000,110,5250,21,28,15040
2,104,"saab","gas","std","four","セダン","fwd","front",99.100000,186.600000,66.500000,56.100000,2758,"ohc","four",121,"mpfi",3.540000,3.070000,9.300000,110,5250,21,28,15510
3,150,"saab","gas","turbo","two","ハッチバック","fwd","front",99.100000,186.600000,66.500000,56.100000,2808,"dohc","four",121,"mpfi",3.540000,3.070000,9.000000,160,5500,19,26,18150
2,104,"saab","gas","turbo","four","セダン","fwd","front",99.100000,186.600000,66.500000,56.100000,2847,"dohc","four",121,"mpfi",3.540000,3.070000,9.000000,160,5500,19,26,18620
2,83,"subaru","gas","std","two","ハッチバック","fwd","front",93.700000,156.900000,63.400000,53.700000,2050,"ohcf","four",97,"2bbl",3.620000,2.360000,9.000000,69,4900,31,36,5118
2,83,"subaru","gas","std","two","ハッチバック","fwd","front",93.700000,157.900000,63.600000,53.700000,2120,"ohcf","four",108,"2bbl",3.620000,2.640000,8.700000,73,4400,26,31,7053
2,83,"subaru","gas","std","two","ハッチバック","4wd","front",93.300000,157.300000,63.800000,55.700000,2240,"ohcf","four",108,"2bbl",3.620000,2.640000,8.700000,73,4400,26,31,7603
0,102,"subaru","gas","std","four","セダン","fwd","front",97.200000,172.000000,65.400000,52.500000,2145,"ohcf","four",108,"2bbl",3.620000,2.640000,9.500000,82,4800,32,37,7126
0,102,"subaru","gas","std","four","セダン","fwd","front",97.200000,172.000000,65.400000,52.500000,2190,"ohcf","four",108,"2bbl",3.620000,2.640000,9.500000,82,4400,28,33,7775
0,102,"subaru","gas","std","four","セダン","fwd","front",97.200000,172.000000,65.400000,52.500000,2340,"ohcf","four",108,"mpfi",3.620000,2.640000,9.000000,94,5200,26,32,9960
0,102,"subaru","gas","std","four","セダン","4wd","front",97.000000,172.000000,65.400000,54.300000,2385,"ohcf","four",108,"2bbl",3.620000,2.640000,9.000000,82,4800,24,25,9233
0,102,"subaru","gas","turbo","four","セダン","4wd","front",97.000000,172.000000,65.400000,54.300000,2510,"ohcf","four",108,"mpfi",3.620000,2.640000,7.700000,111,4800,24,29,11259
0,89,"subaru","gas","std","four","ワゴン","fwd","front",97.000000,173.500000,65.400000,53.000000,2290,"ohcf","four",108,"2bbl",3.620000,2.640000,9.000000,82,4800,28,32,7463
0,89,"subaru","gas","std","four","ワゴン","fwd","front",97.000000,173.500000,65.400000,53.000000,2455,"ohcf","four",108,"mpfi",3.620000,2.640000,9.000000,94,5200,25,31,10198
0,85,"subaru","gas","std","four","ワゴン","4wd","front",96.900000,173.600000,65.400000,54.900000,2420,"ohcf","four",108,"2bbl",3.620000,2.640000,9.000000,82,4800,23,29,8013
0,85,"subaru","gas","turbo","four","ワゴン","4wd","front",96.900000,173.600000,65.400000,54.900000,2650,"ohcf","four",108,"mpfi",3.620000,2.640000,7.700000,111,4800,23,23,11694
1,87,"toyota","gas","std","two","ハッチバック","fwd","front",95.700000,158.700000,63.600000,54.500000,1985,"ohc","four",92,"2bbl",3.050000,3.030000,9.000000,62,4800,35,39,5348
